,titulo,hora,autor,fecha,texto,categoria
0,"Fernando Alonso, motor nuevo y librada milagrosa en un viernes en Arabia marcado por los atentados",17:17h,David Sánchez de Castro,25.03.2022,"
No fue un inicio sencillo para Fernando Alonso en el GP de Arabia. El equipo Alpine no acaba de dar con la tecla y después de la dubitativa carrera de Bahréin, parece que la segunda del campeonato no va a ser sencilla para ellos, al menos del lado del asturiano. Más allá de los problemas de degradación que tuvo con los tres tipos de neumáticos Pirelli que montó en la cita inaugural, lo cierto es que su compañero Esteban Ocon con el mismo coche y una penalización fue netamente más competitivo. Eso hacía pensar que había un problema mayor.











Alpine acelera 'El Plan' en Arabia tras el agridulce resultado en Bahréin para que Alonso no les saque más los colores



Tras días de estudio, a unas horas de que arrancara la acción en el GP de Arabia Saudí confirmaron las sospechas: la unidad de potencia del coche de Alonso no estaba bien montada. Un problema en el sellado del motor térmico, el ICE, hizo que se produjera un fallo en su rendimiento, por lo que decidieron montar uno nuevo para este fin de semana y mandar a Viry-Chatillon, la factoría de los motores Renault, la defectuosa para estudiarla. Por suerte para Alpine, solo se produjo en el coche de Alonso. Alonso montó la nueva unidad en los primeros libres en el circuito de Jeddah y se vio que, al menos, podía mantener a un régimen más alto de vueltas sin que notara pérdida de potencia o problemas de fiabilidad. Completó en la primera tanda un total de 23 vueltas y marcó el 10º tiempo, por detrás de un Lewis Hamilton que sigue sin encontrarse cómodo en un W13 con serios problemas de 'porpoising'. 











Un atentado con misiles a una refinería cercana al circuito de Jeddah pone en serio riesgo el GP de Arabia Saudí



Sin embargo, en los segundos, Alonso no sólo no mejoró, sino que cayó un puesto más. El español acabó este viernes en una gris 11ª posición, aunque no llegó a dar una vuelta limpia de tráfico en la hora de sesión. Lo que sí dejó es una imagen que deja claro que aún tiene manos. Mediada la sesión, que arrancó 15 minutos tarde por el atentado a la refinería de Aramco a 10 kilómetros del circuito, el asturiano perdió ligeramente el control sobre su A522 y tuvo que tirar de reflejos para no acabar contra el muro. Le fue por muy poco. Los que no fallaron inicialmente fueron los de arriba. Max Verstappen y Charles Leclerc tuvieron una bonita batalla sobre el crono en la tanda matutina, con victoria para el monegasco en el último instante, y en la vespertina, en la que también se impuso el de Ferrari.Sin embargo, y aunque fue el más rápido, su participación en los libres acabó antes de tiempo por un golpe contra el muro en el que dañó la suspensión delantera. Leclerc no fue el único que obligó a trabajar a los mecánicos de Ferrari, ya que Carlos Sainz también se dio contra las protecciones, aunque de manera mucho más suave. Ambos se retiraron a 15 minutos del final. ",Deportes de motorF1Motociclismo
1,El GP de Arabia Saudí sigue adelante tras el atentado con misiles cerca del circuito pese al intento de boicot de los pilotos,00:42h,SportYou,26.03.2022,"
El GP de Arabia Saudí, segunda cita del campeonato del mundo de Fórmula 1, se ha visto asaltado por el terrorismo. Los rebeldes hutíes de Yemen han reivindicado un ataque con misiles sobre una refinería de Aramco, la petrolera nacional saudí y uno de los principales patrocinadores del certamen, que ha provocado una explosión y y una gran humareda durante los primeros entrenamientos libres.











Fernando Alonso, motor nuevo y librada milagrosa en un viernes en Arabia marcado por los atentados



La televisión estatal afirmó inicialmente de una ""operación hostil"" contra un depósito de petróleo en Jeddah, a unos 10 kilómetros de donde transcurre el circuito, y posteriormente los rebeldes hutíes de Yemen reivindicaron el ataque.El portavoz militar hutí, Yahya Sarea, ha asumido en nombre del movimiento el ""ataque hostil"" y ha advertido de que habrá más contra ""instalaciones vitales en la capital del enemigo saudí, Riad, con un lote de misiles"", según una comparecencia recogida por la agencia de noticias Saba.La operación, ha añadido, también ha apuntado a dos refinerías en Ras Tanura y Rabigh, así como contra instalaciones de Aramco en Jizan y Najran. También han lanzado ataques contra las regiones de Dhahran al Janub, Abha y Jamis Musait.Miedo en el paddockEl incidente hizo que la Fórmula 1 se pusiera en alerta inmediatamente. Los pilotos, responsables de equipo y la propia organización del campeonato mantuvieron una reunión instantes antes de que comenzara la segunda sesión de entrenamientos libres, que se celebró pero con 15 minutos de retraso.Las autoridades locales han llamado a la calma, si bien varios pilotos se han visto preocupados por la seguridad. Algunos, incluso, amenazaron con abandonar inmediatamente el circuito. Los responsables de la organización del Gran Premio enviaron un comunicado llamando a la calma y garantizando la seguridad de todos los participantes en la cita. Aunque la segunda sesión de libres transcurrió con relativa normalidad una vez confirmado el origen terrorista del incidente, se celebró una reunión a última hora del díapara determinar si se debía mantener la celebración del Gran Premio el resto del fin de semana o no.Entre medias, se sucedieron más explosiones en la misma zona y se canceló la rueda de prensa y comparecencias de los pilotos ante los medios. Una vez reunidos todos los pilotos presentes, la organización, la FIA y los promotores, se confirmó que el GP de Arabia Saudí seguía adelante. Todas las partes lo acordaron por unanimidad, después de que se garantizase la seguridad.Los pilotos se plantanEsa era la teoría, porque ese presunto acuerdo no fue tan unánime. Después de que las autoridades hablasen de que todos estaban de acuerdo, los pilotos se reunieron aparte: no estaban convencidos. Con Lewis Hamilton llevando la voz cantante, las dudas sobre seguir o no (y las consecuencias de no hacerlo) hicieron que Stefano Domenicali, primero, y Ross Brawn, después (CEO y director deportivo respectivamente de la Fórmula 1) intercedieran. Cuando esto no dio resultado, lo hicieron los propios directores de equipo.  Después de cuatro horas reunidos, George Russell (director de la Asociación de Pilotos, una suerte de sindicato representativo de los corredores) se dirigió a dirección de carrera para anunciar el acuerdo definitivo: se disputará la carrera.No fue fácil de llegar a un acuerdo, pero al final pesaron más las posibles consecuencias de una cancelación y, sobre todo, la dificultad de garantizar la salida de todos los componentes del paddock en esta situación. Y es que mientras los pilotos discutían qué hacer, el fuego seguía echando llamaradas en la refinería que había sido atacada hacía ya seis horas. 











Se confirma uno de los ataques terroristas del Dakar: encuentran restos de explosivo en un coche



No es la primera vez que un evento deportivo en Arabia Saudí se ve asaltado por el terrorismo. En la pasada edición del rally Dakar, que transcurre por todo el país, hubo un presunto atentado (sólo Francia lo reconoce como tal ante un abrumador silencio de otras autoridades) contra los miembros de un equipo en competición, que dejó varios heridos de gravedad.",Deportes de motorF1Motociclismo
2,"Bale le declara la guerra a la prensa con una durísima carta: ""¡Todos sabemos quién es el verdadero parásito!""",18:09h,SportYou,25.03.2022,"
Gareth Bale se ha hartado. Las críticas furibundas que recibe de parte de la prensa española por su absoluto pasotismo con el Real Madrid que contrasta con su excelsa actuación en cada partido de Gales ha provocado que emita una contundente carta en la que apunta, primero, al diario 'Marca' pero habla de los medios en general.











Los golazos de Gareth Bale en el Gales - Austria: ¿hace cuánto que no marca uno así con el Real Madrid?



Todo viene porque su partido contra Austria dejó claro que sigue siendo un futbolista top... pese a que unos días antes no había sido capaz siquiera de dar un par de toques a un balón por unas supuestas molestias en la espalda. Su baja ante el Barcelona, partido del que se borró, no sorprendió a nadie, aún así.Bale no acepta que apunten contra él, por lo que ha decidido emitir una dura carta en sus redes sociales. La carta de Bale contra la prensa""El Daily Mail saca a la luz esta pieza de periodismo calumnioso, despectivo y especulativo de Marca.En un momento en que las personas se quitan la vida debido a la insensibilidad y la implacabilidad de los medios, quiero saber, ¿quién está responsabilizando a estos periodistas y los medios de comunicación que les permiten escribir artículos como este?











Bale explota contra la prensa española tras su partidazo con Gales: ""Deberían estar avergonzados""



Afortunadamente, he desarrollado una piel dura durante mi tiempo en el centro de la atención pública, pero eso no significa que artículos como estos no causen daño y molesten personal y profesionalmente a quienes reciben estas historias maliciosas.He sido testigo del costo que los medios de comunicación pueden tener en la salud mental y física de las personas.Los medios de comunicación esperan actuaciones sobrehumanas de los atletas profesionales, y serán los primeros en celebrar con ellos cuando lo hagan, pero en lugar de compadecerse de ellos cuando muestran una pizca de error humano, los hacen trizas, fomentando la ira y la decepción en su aficionados.La presión diaria sobre los atletas es inmensa, y es tan claro como el agua, que la atención negativa de los medios podría enviar fácilmente a un atleta ya estresado, o a cualquiera que esté a la vista del público, al límite.











Hasta Cristóbal Soria 'defiende' al Madrid en 'El Chiringuito': ""Tienen que echar a Bale ya""



Espero que para cuando nuestros hijos tengan una edad en la que puedan ingerir noticias, la ética y los estándares del periodismo se habrán aplicado de manera más estricta.Así que quiero usar mi plataforma para alentar el cambio en la forma en que hablamos públicamente y criticamos a las personas, simplemente en su mayor parte, sin cumplir con las expectativas a menudo poco realistas que se proyectan sobre ellos.¡Todos sabemos quién es el verdadero parásito!""","FútbolLigaSegundaChampions Leaguemás
                                            Europa LeagueEurocopaMundial"
3,"Hazard vuelve al quirófano por el dolor de la pierna derecha, la pesadilla que nunca acaba",21:50h,SportYou,25.03.2022,"
El jugador del Real Madrid Eden Hazard será intervenido en los próximos días de sus problemas en el peroné derecho, según ha indicado este viernes el club blanco en un comunicado, donde no explica más detalles de la operación, ni el tiempo estimado de baja.""Nuestro jugador Eden Hazard será intervenido en los próximos días para la retirada de la placa de osteosíntesis en su peroné derecho"", informaron los servicios médicos del Real Madrid en un breve comunicado sobre el internacional belga. El jugador, de 31 años, padece problemas casi crónicos en el tobillo en los últimos años y desde 2017, cuando sufrió una rotura con su selección, lleva implantada una pequeña placa de metal como ayuda para la curación.Además de la lesión en el tobillo, Hazard ha sufrido problemas musculares alrededor de esa área que comenzaron a convertirse en un problema más regular después de los últimos años, en concreto su duelo con el Paris Saint-Germain en noviembre de 2019.











La última indignación del Real Madrid con Bale: sus risas cuando Ancelotti manda a Hazard al banquillo tras calentar



Poco después de regresar de esa ""microfractura"", Hazard sufrió una rotura más grave en el peroné en febrero de 2020, que requirió la inserción de una placa de metal más grande al mes siguiente. Desde entonces el belga no ha jugado con regularidad ni con Zidane, ni con Ancelotti esta temporada.Según medios belgas, Hazard siente que la segunda placa ha sido la causa de su malestar posterior y ha generado polémica con el Real Madrid, que finalmente habría aceptado que ""en los próximos días"" Hazard pase por el quirófano para que le saquen la placa.El paso de Hazard por el Real Madrid está siendo decepcionante después de haber pagado 100 millones de euros al Chelsea en el verano de 2019. Desde entonces, el belga no ha gozado de continuidad y ha estado lejos de su mejor nivel. En total, ha tenido 13 parones por lesión y este año ha jugado 17 partidos, su mayor cifra desde que fichó por los blancos.


Análisis sobre Hazard: más lesiones que goles en su etapa en Madrid.CARLOS GÁMEZ
","FútbolLigaSegundaChampions Leaguemás
                                            Europa LeagueEurocopaMundial"
4,Muere el padre de Diego Simeone en un hospital de Buenos Aires,16:37h,SportYou,25.03.2022,"
Carlos Simeone, padre del entrenador del Atlético de Madrid Diego Pablo Simeone, ha fallecido en la madrugada del jueves en Buenos Aires (Argentina), según ha informado el conjunto rojiblanco.""Hoy es un día triste para la familia rojiblanca. El Atlético de Madrid está de luto por el fallecimiento de Carlos Simeone, padre de nuestro entrenador, Diego Pablo Simeone, y abuelo de Giuliano Simeone, delantero del Atlético de Madrid B"", ha expresado el club madrileño en su página web oficial. La bandera del club situada en el estadio Wanda Metropolitano de Madrid ondea a media asta en homenaje al progenitor del técnico rojiblanco. ""Nuestro presidente, consejero delegado, resto de miembros del Consejo de Administración y todos los empleados queremos transmitir nuestro más sincero pésame y nos unimos al dolor de la familia. Descanse en paz"", ha añadido el Atlético.""Atlético de Madrid. Familia"", ha reaccionado a ese gesto la mujer de Diego Simeone, Carla Pereyra, a través de una publicación en su perfil de la red social Instagram.Simeone había aprovechado el parón liguero para viajar a Argentina, consciente del estado de su padre que ya era muy grave. El padre del técnico colchonero se encontraba ya internado en el Sanatorio de la Trinidad del barrio de Palermo de Buenos Aires.","FútbolLigaSegundaChampions Leaguemás
                                            Europa LeagueEurocopaMundial"
5,Muere una gimnasta ucraniana de 11 años por el impacto de un misil ruso en su casa de Mariúpol,12:17h,SportYou,25.03.2022,"
Katya Dyachenko, una de las gimnastas más prometedoras de Ucrania, ha sido hallada muerta entre los escombros del edificio en el que residía en Mariúpol, destruido por el impacto de un misil ruso. Tenía sólo 11 años.Anna Purtova, parlamentaria ucraniana, ha sido la encargada de confirmar la triste noticia: ""Podría haber tenido un futuro brillante por delante...pero se ha ido en un segundo"", escribía, al tiempo que pedía a la OTAN que cierre el espacio aéreo. Anastasia Meshchanenkov, entrenadora de la joven gimnasta desaparecida, también se lamentó de manera pública por la pérdida de la pequeña: ""Tenía que conquistar el mundo, pero ha muerto enterrada en escombros. Tenía que conquistar el escenario y regalar sonrisas al mundo. ¿De qué tienen la culpa los niños?"", escribía en redes.Mariúpol, al sudeste de Ucrania y cerca de la frontera con Rusia, está siendo una de las ciudades más devastada por la invasión. 












DIRECTO | Ucrania calcula que Rusia mató a 300 personas en el bombardeo al Teatro Dramático de Mariúpol

A. L.

","FútbolBaloncestoTenisDeportes de motormás
                                            JJOO"
6,¿Bomba inesperada? En Francia aseguran que el Barça se ha metido por medio en el fichaje de Mbappé,13:43h,SportYou,25.03.2022,"
El Barcelona ""entra en escena"" para el fichaje del delantero del París Saint Germain Kyllian Mbappé, pretendido por el Real Madrid y que termina contrato el próximo 30 de junio con el club francés, según informó este jueves el diario 'L'Equipe', que explicó que el futbolista ""no ha cerrado la puerta"" a la opción azulgrana.Aunque el periódico francés insiste en su información que el futuro del atacante ""oscila"" entre el Real Madrid y el París Saint Germain, pero aún no ha tomado ninguna decisión definitiva, destaca que el club parisino ""ha sido informado"" del interés del Barça en ""hacerse con los servicios"" del delantero ""para la próxima temporada"".Mbappe concluye contrato el próximo 30 de junio con el París Saint Germain. De momento, el atacante no ha renovado, pese al interés del PSG en lograrlo, y es una de las figuras más atractivas del próximo mercado de verano, con el Real Madrid como principal posibilidad.Pese a que, tras el último informe de la Liga, el Barça cuenta con un saldo negativo para destinar al límite salarial, la futura regulación de la normativa que anunció este jueves la UEFA podría modificar el escenario y permitir al club azulgrana hacer más movimientos en el mercado de fichajes.","FútbolLigaSegundaChampions Leaguemás
                                            Europa LeagueEurocopaMundial"
7,La escandalosa y desmesurada pataleta de Nick Kyrgios ante Nadal en Indian Wells le cuesta una multa considerable,10:40h,SportYou,26.03.2022,"
El numerito de Nick Kyrgios en su partido contra Rafa Nadal en cuartos de final de Indian Wells ha tenido consecuencia para el australiano. Su rabia descontrolada le llevó a golpear su raqueta con fuerza contra el suelo y casi golpea con ella a un recogepelotas que estaba cerca, y ahora tendrá que pagar por ello.











Kyrgios explota tras la derrota contra Nadal y un espectador graba el momento justo de su reacción



La ATP ha impuesto una multa de 25.000 dólares a Kyrgios, divididos en un total de 20.000 por lanzar la raqueta contra el suelo y otros 5.000 por gritos obscenos. De nada sirvió la disculpa posterior del australiano en rueda de prensa. Esta sanción aumenta así el gasto económico en multas de Kyrgios en lo que va de temporada, pues el jugador también fue castigado con 10.000 dólares por una acción parecida durante el Open de Australia.La ATP se está tomando muy en serio este tipo de comportamientos, pues también multó a Alexander Zverev cuando se lio a raquetazos con la silla de un juez con la raqueta y a Jenson Brooksby por estar cerca de golpear a un recogepelotas.","TenisFútbolBaloncestoDeportes de motormás
                                                JJOO"
8,"El COE prepara un acuerdo sobre los Juegos Olímpicos de Invierno en el Pirineo para 2030, pero Aragón niega que ya haya pacto",20:33h,SportYou,25.03.2022,"
La posibilidad de que se celebren en España unos Juegos Olímpicos de invierno sólo se producirá si hay un consenso absoluto entre todas las partes. Así lo afirmó Alejandro Blanco, presidente del COE, tras una jornada con Salvador Illa, del PSC, sobre la eventual candidatura de Pirineos 2030.











El COE ve al Pirineo llevándose los JJ.OO. de invierno si hay candidatura conjunta de Aragón y Cataluña



""Si somos capaces, en un momento de confusión y enfrentamiento, de tener una idea común y trabajar todos en pos de esa idea, recorriendo el camino en común, entonces hemos ganado la candidatura. A partir de ahí, sea el momento que sea, los Pirineos tendrán Juegos Olímpicos"", afirmó Blanco. Tal es así, que el COE estaba preparando ya un comunicado para que fuera lanzado el lunes con el acuerdo cerrado... si bien no lo está aún.El gobierno de Aragón, que preside el socialista Javier Lambán, no considera que se haya llegado a un pacto en igualdad como exigen. Si bien apuestan decididamente por la candidatura a los Juegos de 2030, sólo lo harán si esta es ""de igual a igual y equilibrada en todos los aspectos"" con Cataluña. ""A fecha de hoy, no hay ninguna garantía de que la candidatura se vaya a plantear en esos términos"", afirman fuentes del ejecutivo aragonés.











Madrid renuncia al sueño olímpico... de momento: Alejandro Blanco descarta una candidatura para 2036



El objetivo es garantizar que todos los aspectos de la candidatura se clarifiquen perfectamente. Hasta que no se produzca este paso, Aragón no dará su visto bueno, ya que la desconfianza respecto a todos los demás interlocutores es absoluta.Si no se llega a un acuerdo en estos términos, en caso de discrepancia insalvable, la comunidad aragonesa planteará su propia alternativa en sus términos, ya que tienen claro que debe primera el beneficio de su región. Aunque tienen claro que es una candidatura de España, Aragón no está dispuesta a apoyarla si no queda a salvo y fortalecido el interés de la Comunidad.",JJOOEstadísticas
9,Apuntan con una pistola a Mike Tyson en un club de monólogos y la reacción del exboxeador deja a todos pasmados,11:32h,SportYou,25.03.2022,"
La vida de Mike Tyson es de lo más intensa. Ya no sólo cuando era el mejor boxeador del planeta, sino también ahora que, ya retirado. Su última 'aventurilla', un tanto peligrosa a decir verdad, sucedió el pasado martes, cuando 'Iron Mike' asistía a un espectáculo de monólogos e irrumpió en escena un hombre bastante alterado que acabó apuntando con un arma a los presentes.











Mike Tyson y el surrealismo comercial: vende gominolas de cannabis con la forma de la oreja mordida a Holyfield



El incidente fue publicado por TMZ y las imágenes dieron la vuelta al mundo. En ellas se puede ver al individuo retando a Mike Tyson a una pelea. El exboxeador no entra al trapo y sus guardaespaldas intentan calmar los ánimos. Fue entonces cuando el alterado personaje sacó a relucir un arma de fuego. En el vídeo se puede ver como la gente se tira al suelo por si el hombre armado abría fuego. Es entonces cuando Mike Tyson, sin moverse de su asiento, se ofrece a apaciguar los ánimos y termina dando un abrazo el 'pistolero'. Éste se tranquiliza y abandona el lugar, no sin antes volver a amenazar a los guardaespaldas de 'Iron Mike'.","FútbolBaloncestoTenisDeportes de motormás
                                            JJOO"
